MJRcd,MJRBY,Acres,Hectares,Area_m,Shape_Leng,Shape_Le_1,Shape_Le_2,Shape_Area
"1",Sabine Lake System,71971.08675300000,29125.66546530000,291256654.65299999714,4.07086287000,4.07086287606,419529.56904899998,291256654.70999997854
"3",Matagorda Bay System,285268.29344899999,115443.98254500001,1154439825.45000004768,9.51699408000,9.51699408167,984966.13702999998,1154439825.23000001907
"4",San Antonio Bay System,128774.49202900000,52113.18801070000,521131880.10699999332,3.30049796000,3.30049796866,340201.31022900000,521131880.25300002098
"5",Aransas Bay System,152628.81669499999,61766.69070850000,617666907.08500003815,4.82625473000,4.82625473016,500706.48442900000,617666907.09300005436
"6",Corpus Christi Bay System,122054.24780700001,49393.60166190000,493936016.61900001764,2.23774587000,2.23774587544,230920.09268800000,493936016.59299999475
"8",Lower Laguna Madre System,174271.36571899999,70525.11955990001,705251195.59899997711,6.92709826000,6.92709826060,731484.63974500005,705251195.82400000095
"2",Galveston Bay System,386930.71604500001,156585.30532499999,1565853053.25000000000,12.83447230000,12.83447230170,1323468.37193999998,1565853053.44000005722
"7",Upper Laguna Madre,138849.35909300001,56190.34205900000,561903420.59000003338,5.96714898000,5.96714898223,628121.07026600000,561903420.37300002575
